n_non_missing,n_missing,missing_pct,mean,median,std,min,p05,p25,p75,p95,max,summary_level,group
21341.0,0.0,0.0,100.20120566046576,77.85,92.7874073682611,30.22,50.43,61.74,104.14,209.06,2693.65,overall,all
5164.0,0.0,0.0,94.12743222308288,78.045,68.23199591866415,33.48,50.9015,62.9375,100.64,182.42949999999985,1374.21,vowel,a
1886.0,0.0,0.0,97.5383775185578,73.41499999999999,92.66487160755797,34.17,50.175,58.775000000000006,96.89500000000001,219.39000000000001,1176.23,vowel,ai
1348.0,0.0,0.0,99.02701038575668,82.0,70.9981727780805,40.04,51.0645,64.485,109.1,195.3345,1126.66,vowel,an
751.0,0.0,0.0,97.68451398135818,76.59,85.24158890430269,30.22,50.495000000000005,60.43,102.41499999999999,185.99,1025.13,vowel,au
2672.0,0.0,0.0,94.6752619760479,74.88499999999999,82.7392804898934,30.53,50.43,60.760000000000005,99.02250000000001,199.15299999999993,1860.27,vowel,e
15.0,0.0,0.0,110.526,115.18,27.480201912337854,58.35,66.42099999999999,96.08,125.275,146.22499999999997,168.38,vowel,en
578.0,0.0,0.0,93.21975778546714,73.155,73.42457815498561,31.31,49.5995,58.8525,97.44,186.88599999999988,879.97,vowel,eu
2031.0,0.0,0.0,105.89407680945347,77.93,104.43052924478937,36.42,49.224999999999994,61.07,107.39,237.77,1390.03,vowel,i
1.0,0.0,0.0,50.33,50.33,,50.33,50.33,50.33,50.33,50.33,50.33,vowel,i-copine
958.0,0.0,0.0,112.28004175365345,87.765,104.20412306797688,39.42,52.921,68.295,118.42250000000001,246.7405,1743.76,vowel,in
1022.0,0.0,0.0,117.06642857142857,82.84,134.02864331207235,40.92,51.513999999999996,63.265,117.49000000000001,255.3379999999999,1930.32,vowel,o
1376.0,0.0,0.0,89.77786337209302,69.745,69.175434635653,34.47,49.22,57.295,93.3725,196.67,1127.2,vowel,oe
1368.0,0.0,0.0,108.42505847953215,86.375,101.73082150908077,37.87,51.83,66.04249999999999,115.075,219.5174999999993,1672.22,vowel,on
1.0,0.0,0.0,89.2,89.2,,89.2,89.2,89.2,89.2,89.2,89.2,vowel,on-donc
1357.0,0.0,0.0,124.46027266028003,85.15,154.15009695185026,37.33,50.762,65.08,119.8,310.54400000000015,2693.65,vowel,ou
813.0,0.0,0.0,85.89522755227553,69.48,70.27792501165968,34.87,48.22,56.42,90.91,163.87399999999994,1080.22,vowel,u
17552.0,0.0,0.0,103.7409696900638,79.43,99.13821381960767,30.22,50.6855,62.7,107.55,221.32,2693.65,register,IDS
3789.0,0.0,0.0,83.80375560833993,71.09,51.354675397464106,33.27,48.93,58.35,91.01,156.988,1127.2,register,ADS
235.0,0.0,0.0,77.0275744680851,68.31,32.70215471072405,34.9,43.135000000000005,55.629999999999995,88.27000000000001,128.97099999999995,277.24,feature_status,failed
21106.0,0.0,0.0,100.45922723396191,77.93,93.2065699952878,30.22,50.48,61.84,104.3075,210.1475,2693.65,feature_status,success
