speakerid,feature_error,n_rows
c009,pitch_not_detected,7
c012,pitch_not_detected,10
c018,pitch_not_detected,9
c021,invalid_time_interval,118
c021,pitch_not_detected,26
c027,pitch_not_detected,1
c028,pitch_not_detected,5
c031,pitch_not_detected,5
c035,pitch_not_detected,8
c037,pitch_not_detected,11
c040,pitch_not_detected,2
c044,pitch_not_detected,1
c045,pitch_not_detected,3
c052,pitch_not_detected,1
c053,pitch_not_detected,9
c054,pitch_not_detected,3
c056,pitch_not_detected,4
c057,pitch_not_detected,1
c065,pitch_not_detected,1
c067,pitch_not_detected,2
c068,pitch_not_detected,1
c071,pitch_not_detected,6
c077,pitch_not_detected,1
