vowel,feature_error,n_rows
a,invalid_time_interval,45
a,pitch_not_detected,52
ai,invalid_time_interval,6
ai,pitch_not_detected,10
an,invalid_time_interval,2
an,pitch_not_detected,8
au,pitch_not_detected,4
e,invalid_time_interval,13
e,pitch_not_detected,9
en,pitch_not_detected,1
eu,pitch_not_detected,3
i,invalid_time_interval,11
i,pitch_not_detected,7
in,invalid_time_interval,7
in,pitch_not_detected,4
o,invalid_time_interval,2
o,pitch_not_detected,4
oe,invalid_time_interval,14
oe,pitch_not_detected,2
on,invalid_time_interval,10
on,pitch_not_detected,1
ou,invalid_time_interval,4
ou,pitch_not_detected,7
u,invalid_time_interval,4
u,pitch_not_detected,5
