speakerid,n_tokens,n_success,n_failed,success_rate,failure_rate,mean_duration_ms,mean_pitch,mean_pitch_range,mean_F1,mean_F2,central_F1,central_F2,number_of_missing_files,most_common_feature_error
c009,613,606,7,98.85807504078304,1.1419249592169658,114.60353996737358,275.6837323896986,27.296853115540006,581.2180259567601,1797.1240143679593,585.4603893810554,1800.4793381877873,0,pitch_not_detected
c010,238,238,0,100.0,0.0,197.16731092436973,282.375039835508,44.25499467305386,617.2761581512765,1833.6492849030308,624.6872413274792,1834.229455733306,0,
c012,910,900,10,98.9010989010989,1.098901098901099,136.0901098901099,272.04932255575125,33.79706942503452,468.2434798817151,1877.9026983172153,468.4783244511965,1878.4557882914391,0,pitch_not_detected
c018,3713,3704,9,99.7576084029087,0.24239159709130084,91.64948020468624,327.08136912519626,23.722072298143058,571.2254634113564,1805.5600122314952,574.4060496351549,1808.4303419826538,0,pitch_not_detected
c021,1155,1011,144,87.53246753246754,12.467532467532468,90.94138528138528,255.23269654774433,19.292440465721327,592.2185982020804,1830.702433509157,594.2605191612342,1837.9280791684996,0,invalid_time_interval
c023,174,174,0,100.0,0.0,127.12919540229885,283.33484039770264,25.888260891116563,595.8478434400462,1804.223934931966,596.2602402792425,1809.7276974308315,0,
c027,630,629,1,99.84126984126985,0.15873015873015872,85.166,251.82517942991728,9.278441880081786,535.5662791058922,1831.3221778356594,533.7347328583304,1828.866294193468,0,pitch_not_detected
c028,830,825,5,99.3975903614458,0.6024096385542169,99.76820481927709,311.51886505055876,27.759526147008057,582.5973863801663,1700.3068999947081,583.921169106701,1707.1926433182246,0,pitch_not_detected
c031,713,708,5,99.29873772791024,0.7012622720897616,88.43639551192146,296.4149482521109,24.08196114410039,531.3808394960575,1634.4586853910196,535.1648151307136,1636.8961821699943,0,pitch_not_detected
c035,798,790,8,98.99749373433583,1.0025062656641603,110.11612781954886,302.93299592777373,31.827748062680133,558.8360033995726,1871.4839679746915,560.8338205615623,1874.131007135745,0,pitch_not_detected
c036,250,250,0,100.0,0.0,89.38956,267.5328369969275,19.816318309355562,505.00075044152527,1923.9598267445745,508.24216055958135,1920.7192003906243,0,
