row_index,speakerid,session,activity,time,word,vowel,register,start_sec,duration_sec,duration_ms,mean_pitch,min_pitch,max_pitch,pitch_range,mean_F1,mean_F2,mean_F3,mean_F4,central_F1,central_F2,central_F3,central_F4,feature_status,feature_error,feature_error_detail,formant_ceiling,audio_file,suspicious_reason
37,c009,12m,meal,815,bon,on,IDS,256.3,0.06,60.64,246.294627685863,237.05839710751408,254.12269267917503,17.064295571660978,435.9681215478319,945.3712617175054,2740.438452344972,3310.438496946057,440.0915217200292,967.6550549622212,2735.169147309932,3466.5174274812107,success,,,4510.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_meal_0815.wav,mean_F2_lt_1000
165,c009,12m,play,940,quoi,ou,IDS,215.3,0.07,72.55,386.93166775369474,368.0140337624547,398.7909771880224,30.77694342556771,453.4991175298469,781.2717536364512,2075.6901206939574,2998.1006173152045,427.9263656662213,778.2141899857436,2086.502716529091,2982.79154615361,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0940.wav,mean_F2_lt_1000
169,c009,12m,play,940,quoi,ou,IDS,218.93,0.05,54.52,408.6817821956362,405.3165561789682,413.09463858686,7.778082407891816,424.7645958335719,826.046141669946,1814.06512125046,3124.8058930174216,424.7645958335719,826.046141669946,1814.06512125046,3124.8058930174216,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0940.wav,mean_F2_lt_1000
171,c009,12m,play,940,on,on,IDS,219.26,0.22,216.17,286.4066297124492,277.09913383536355,296.04523857117283,18.94610473580929,545.8244684777663,925.5719604308996,2050.398844587795,2854.847632659937,580.8688476059443,892.7115009511178,2168.1054496297884,2383.204714698644,success,,,4510.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0940.wav,mean_F2_lt_1000
188,c009,12m,play,940,pour,ou,IDS,280.93,0.05,48.9,294.91888638895995,293.8272394837036,295.9422295991278,2.1149901154242343,415.3285788737738,871.5008800338968,2409.8821794567566,3221.8907503380524,415.3285788737738,871.5008800338968,2409.8821794567566,3221.8907503380524,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0940.wav,mean_F2_lt_1000
192,c009,12m,play,945,comment,an,IDS,195.9,0.08,78.87,272.5368695584801,265.81438578205945,278.2830349308636,12.46864914880416,415.5740898747506,870.4324570080497,2182.1354446943064,3324.93295349878,402.551904619206,833.4697168834084,2172.052816238572,3266.8731893338318,success,,,4730.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0945.wav,mean_F2_lt_1000
200,c009,12m,play,945,allo,o,IDS,198.08,0.08,82.57,306.37138437562345,305.22690039369456,307.32885764926874,2.101957255574177,348.94448938970254,974.869967800384,2379.423147724708,3189.5283331854507,337.14802288041204,957.3177765506272,2326.0902572906302,3244.135039537841,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_12m_play_0945.wav,mean_F2_lt_1000
206,c009,4m,bath,1520,coucou,ou,IDS,129.53,0.26,258.44,413.5035860056588,385.942118825557,473.1739522693555,87.23183344379851,416.3899107936777,846.7795513199414,2189.9195500539527,3137.121236317632,396.0827548314354,880.4966253240918,2384.103925277461,3220.27319211727,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
226,c009,4m,bath,1520,force,o,IDS,207.61,0.09,90.15,286.23146491699777,283.5698491422339,290.8447368712788,7.274887729044849,709.3734418076841,920.8168433709086,2656.092912281202,3525.116061509801,850.0130434706641,969.4670181551094,3077.284481303752,3876.4866548068567,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
228,c009,4m,bath,1520,ooh,ou,IDS,209.47,0.21,207.52,316.6773769365458,259.457894136268,346.43234936437995,86.97445522811194,615.3963999971525,955.2232957256974,2482.539254491181,3194.2138534305464,614.893162555478,930.6329097864244,2385.222751029658,3081.4416639316896,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
262,c009,4m,bath,1520,beaucoup,u,IDS,237.38,0.13,132.46,277.33462719554893,262.6655040934774,296.5504639433386,33.88495984986122,378.8812762933696,805.2985837299367,2588.818320269435,3759.999216953948,397.9697648390425,807.5610049971923,2637.405093040369,3921.701411960677,success,,,5280.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
298,c009,4m,bath,1520,on,on,IDS,288.36,0.13,127.38,264.12034358973114,242.0103875344728,281.7137670775332,39.70337954306044,460.019284428783,971.120808717064,2275.352524128146,3164.2157394910832,443.88239739299854,1020.7744689416234,2394.605767030704,3134.2590590754457,success,,,4510.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
344,c009,4m,bath,1520,bon,on,IDS,384.2,0.06,61.97,281.7257337234158,278.66205574816127,283.1743273757772,4.512271627615917,580.5007726881335,880.1630039185657,2057.4748873131093,3052.0169095140345,581.0058887907131,880.2550647848994,2071.453911386842,3044.297156619073,success,,,4510.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
347,c009,4m,bath,1520,gâteau,o,IDS,384.8,0.62,618.8,268.085170994542,238.0735425540684,283.3688915258636,45.29534897179519,498.0300729992176,859.0699586935075,2317.185452824357,3236.931644975952,431.676804657365,818.7867412780975,2547.47106419149,3339.1145794836807,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
353,c009,4m,bath,1520,bon,on,IDS,390.19,0.15,152.55,258.85043123732083,236.08712074916545,276.1562380714315,40.069117322266095,498.8827609419019,764.1972593231751,2226.2986243692467,3278.9815197859816,489.3546243184068,779.2624564137161,2400.9015973505034,3572.393728982871,success,,,4510.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
355,c009,4m,bath,1520,clafoutis,ou,IDS,390.77,0.1,100.11,254.83726964032357,248.3657843899537,261.28880630118294,12.923021911229284,339.52459420985195,770.7219338069347,2215.7756889093184,3012.705590656875,333.5197100334069,747.7382585202171,2227.5009110660108,2919.3713207730425,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
367,c009,4m,bath,1520,tout,ou,IDS,410.58,0.14,137.3,234.1660946210065,201.7084740217194,270.86339555937155,69.15492153765214,605.403666536082,976.4626146536413,1856.1393247042909,3292.552130484786,563.4674036813957,946.0117998692108,1259.8414048905777,3154.389008878089,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_bath_1520.wav,mean_F2_lt_1000
409,c009,4m,meal,950,coucou,ou,IDS,16.69,0.14,138.05,435.5229393656964,428.04937354397873,445.38250602285945,17.333132478880714,436.1320192025205,923.2176697554085,2201.212990070689,3213.2278822943504,429.7058530774685,888.0455258133529,2363.946383194035,3397.19342489465,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
413,c009,4m,meal,950,coucou,ou,IDS,20.53,0.12,117.71,468.0594069619159,457.68130305692495,473.88976834688594,16.208465289960998,489.2537837750976,953.8116750357708,2258.9773487969824,3175.280450309669,490.81064566203264,954.4900175607296,2228.979982429065,3239.053645118753,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
414,c009,4m,meal,950,coucou,ou,IDS,21.01,0.24,243.99,430.3669064151235,398.7727524949287,450.92374851672383,52.15099602179515,437.1777872392916,877.920322886074,2264.8945124684656,3202.4803118597592,446.4470630166346,897.6981718682554,2305.5267960860238,3221.0087307260005,success,,,4410.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
437,c009,4m,meal,950,pas,a,IDS,885.03,0.08,76.07,475.2747276435293,470.737555261309,480.5588745592626,9.82131929795355,487.13037209433554,889.6733670996915,2998.1041242798324,4159.968300727441,487.6471669166367,885.2552943026814,3050.4067236100914,4013.872233303346,success,,,5870.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
438,c009,4m,meal,950,beaucoup,o,IDS,885.19,0.06,56.38,201.97669511942152,197.45313384325823,205.20280790703623,7.749674063778002,403.3086054356805,737.9338073900393,2108.873010085993,3097.851584516192,403.573242869841,741.0195120437165,2106.337206929575,3120.6874330521,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
439,c009,4m,meal,950,mangé,an,IDS,885.43,0.13,125.3,175.2488992715718,172.42456255226594,177.31036301055858,4.885800458292636,286.043535067056,817.2906478433576,2352.0673034607244,3394.363787062182,267.05244674012016,807.4636883750543,2324.330773639237,3051.207183427209,success,,,4730.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_meal_0950.wav,mean_F2_lt_1000
450,c009,4m,play,1115,occupé,o,IDS,41.89,0.22,219.97,434.1291575085428,402.43752691752894,504.16336362824114,101.7258367107122,450.1674206023565,899.8777456674574,2332.22251214022,3419.3508014765425,431.634926378749,862.6166486451866,2101.239302852712,3342.94567738114,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c009_4m_play_1115.wav,mean_F2_lt_1000
