vowel,n_tokens,n_success,n_failed,success_rate,mean_duration_ms,median_duration_ms,mean_pitch,median_pitch,mean_pitch_range,median_pitch_range,mean_F1,mean_F2,mean_F3,mean_F4,central_F1,central_F2,central_F3,central_F4,missing_pitch_percentage,missing_formant_percentage
a,5164.0,5067.0,97.0,98.12161115414408,94.12743222308288,78.045,261.49516566086623,242.6883210115895,20.23623105567098,9.543204757946144,693.6993659406098,1764.468344551212,2985.4591759591854,4155.901530935391,698.7683218081272,1766.577931876219,2987.5586562808717,4154.835920355971,1.8783888458559255,1.9752130131680867
ai,1886.0,1870.0,16.0,99.15164369034994,97.5383775185578,73.41499999999999,260.47852706445764,244.58739446306248,22.833372706574842,9.862713051464254,567.7261754122762,2072.6046033521075,3050.0485064008667,4211.845448970962,570.1450353076818,2079.4395532294075,3051.687305682612,4216.6154905381845,0.8483563096500532,0.9013785790031814
an,1348.0,1338.0,10.0,99.25816023738872,99.02701038575668,82.0,270.37764364871003,252.16849115070633,22.871143264114124,9.854629217034102,621.9865613292109,1351.5062711175278,2670.126584108783,3692.2983180472374,625.1648475448886,1347.8768234530173,2671.7613718616285,3686.8720545141764,0.741839762611276,1.261127596439169
au,751.0,747.0,4.0,99.46737683089214,97.68451398135818,76.59,284.6383281595977,264.0291764377222,22.724103367992168,10.274717030620366,610.6885607902522,1473.540612850208,2760.3421517056936,3865.0140949283887,613.231064887733,1477.2069942635278,2760.646889376575,3870.2427061664134,0.5326231691078562,0.5326231691078562
e,2672.0,2650.0,22.0,99.17664670658682,94.6752619760479,74.88499999999999,272.6328966509949,250.6312145336408,21.814931098529843,10.463410988383885,478.59835414029067,2254.404841020693,3188.669886375307,4367.787999075329,478.4704158513841,2263.7928951623103,3192.3299875020557,4370.404589826751,0.8233532934131738,1.0104790419161676
en,15.0,14.0,1.0,93.33333333333333,110.526,115.18,252.57674675036068,224.26593753858003,16.987988382849142,14.913121429040046,626.2561217955239,1643.032511798326,2844.9377942555006,3888.8803518610994,646.6510814289317,1620.046606156839,2779.7634020213372,3757.6115458177114,6.666666666666667,6.666666666666667
eu,578.0,575.0,3.0,99.48096885813149,93.21975778546714,73.155,278.49904875960567,259.23733169191155,23.980933460204938,10.061606881291992,470.65895466726863,1880.1106647730708,2965.0373302752123,4112.3950684263755,469.05589815497865,1886.0136816318916,2964.7109950747745,4111.749033802949,0.5190311418685121,0.8650519031141869
i,2031.0,2013.0,18.0,99.11373707533235,105.89407680945347,77.93,296.7443049820436,283.83747598665894,28.367524168785025,12.965364891043407,416.5469736965499,2268.776623939964,3317.575202105353,4368.114614126607,414.439635042616,2279.9558176466926,3322.817480282472,4373.304309755912,0.8862629246676514,0.9354997538158543
i-copine,1.0,1.0,0.0,100.0,50.33,50.33,366.1898618700193,366.1898618700193,12.119984011538577,12.119984011538577,373.0108408513156,2537.221893002228,3370.9122007457863,4380.464988408651,373.0108408513156,2537.221893002228,3370.9122007457863,4380.464988408651,0.0,0.0
in,958.0,947.0,11.0,98.8517745302714,112.28004175365345,87.765,282.7026729420063,263.4570978284163,28.457725934576196,12.171749480157956,649.485327637301,1633.4092757510957,2868.8639466139457,3900.1238910557736,656.2401751604297,1635.9444029986419,2876.7774164485663,3902.6986274882224,1.1482254697286012,1.7745302713987474
o,1022.0,1016.0,6.0,99.412915851272,117.06642857142857,82.84,282.3019033445824,265.2392966628605,32.02930681345048,12.509877256939852,512.4927670515419,1326.6366846300891,2575.4799488267504,3594.884320145558,515.0746915698824,1321.182587367958,2577.8215642153623,3605.4403264526773,0.5870841487279843,1.1741682974559686
oe,1376.0,1360.0,16.0,98.83720930232558,89.77786337209302,69.745,269.6938440277666,252.10758475029462,16.819320571074183,8.97788274720429,505.861001454697,1802.6472064587263,2875.984486161844,4001.018750118838,507.1387589623826,1799.8908991958035,2873.218597355858,3995.506589795009,1.1627906976744187,1.2354651162790697
on,1368.0,1357.0,11.0,99.19590643274854,108.42505847953215,86.375,281.9775649712781,258.85043123732083,26.370315808112597,12.725112740721444,509.02946225668313,1226.568426857604,2399.762407718311,3442.277745177938,509.63197297030655,1230.494287221002,2408.240570749633,3444.885584023721,0.804093567251462,1.2426900584795322
on-donc,1.0,1.0,0.0,100.0,89.2,89.2,272.5295114579206,272.5295114579206,50.94755118792119,50.94755118792119,511.5384669436231,1518.3906237516142,3087.5122279069683,4037.0415972412698,519.726175369894,1388.16585598334,3226.170642905686,3485.8315858512456,0.0,0.0
ou,1357.0,1346.0,11.0,99.18938835666913,124.46027266028003,85.15,323.317119243625,313.22825781198253,30.53395548464764,15.498477758645336,447.33703033592695,1361.0649940166159,2535.830294801357,3525.343452377546,446.72468793391437,1350.0962857541597,2533.9819023241466,3520.184223321397,0.8106116433308769,1.105379513633014
u,813.0,804.0,9.0,98.8929889298893,85.89522755227553,69.48,283.32077559794897,273.78695920182383,22.323915008964537,9.711392802669593,420.5194218488886,2051.3016009532184,2954.6429001005363,4050.8530451598813,419.5069648687846,2056.959877734436,2959.7983426035025,4061.4848820664006,1.107011070110701,1.5990159901599015
